transaction_id,timestamp,transaction_type,merchant_category,amount_inr,transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend,date,month,month_name,quarter,year_month
TXN0000000001,2024-10-08 15:17:28,P2P,Entertainment,868,SUCCESS,26-35,18-25,Delhi,Axis,SBI,Android,4G,0,15,Tuesday,0,2024-10-08,10,Oct,Q4,2024-10
TXN0000000002,2024-04-11 06:56:00,P2M,Grocery,1011,SUCCESS,26-35,26-35,Uttar Pradesh,ICICI,Axis,iOS,4G,0,6,Thursday,0,2024-04-11,4,Apr,Q2,2024-04
TXN0000000003,2024-04-02 13:27:18,P2P,Grocery,477,SUCCESS,26-35,36-45,Karnataka,Yes Bank,PNB,Android,4G,0,13,Tuesday,0,2024-04-02,4,Apr,Q2,2024-04
TXN0000000004,2024-01-07 10:09:17,P2P,Fuel,2784,SUCCESS,26-35,26-35,Delhi,ICICI,PNB,Android,5G,0,10,Sunday,1,2024-01-07,1,Jan,Q1,2024-01
TXN0000000005,2024-01-23 19:04:23,P2P,Shopping,990,SUCCESS,26-35,18-25,Delhi,Axis,Yes Bank,iOS,WiFi,0,19,Tuesday,0,2024-01-23,1,Jan,Q1,2024-01
TXN0000000006,2024-10-07 22:32:07,P2P,Food,91,SUCCESS,36-45,18-25,Karnataka,IndusInd,Yes Bank,Android,3G,0,22,Monday,0,2024-10-07,10,Oct,Q4,2024-10
TXN0000000007,2024-02-08 10:25:57,P2P,Other,314,SUCCESS,36-45,18-25,Telangana,HDFC,IndusInd,Android,4G,0,10,Thursday,0,2024-02-08,2,Feb,Q1,2024-02
TXN0000000008,2024-10-27 18:47:02,P2P,Utilities,264,SUCCESS,46-55,36-45,Maharashtra,Yes Bank,SBI,Android,5G,0,18,Sunday,1,2024-10-27,10,Oct,Q4,2024-10
TXN0000000009,2024-11-21 09:39:16,P2P,Other,887,SUCCESS,46-55,36-45,Maharashtra,Kotak,HDFC,Android,4G,0,9,Thursday,0,2024-11-21,11,Nov,Q4,2024-11
TXN0000000010,2024-11-11 15:58:56,P2M,Grocery,3260,SUCCESS,46-55,18-25,Delhi,SBI,HDFC,Android,4G,0,15,Monday,0,2024-11-11,11,Nov,Q4,2024-11
TXN0000000011,2024-04-07 20:14:41,P2P,Food,587,SUCCESS,26-35,46-55,Karnataka,SBI,SBI,Android,4G,0,20,Sunday,1,2024-04-07,4,Apr,Q2,2024-04
TXN0000000012,2024-12-24 10:44:57,P2M,Other,518,SUCCESS,26-35,18-25,Gujarat,Yes Bank,SBI,Android,4G,0,10,Tuesday,0,2024-12-24,12,Dec,Q4,2024-12
TXN0000000013,2024-11-16 20:09:14,P2P,Transport,73,SUCCESS,26-35,18-25,Uttar Pradesh,Axis,Kotak,Android,4G,0,20,Saturday,1,2024-11-16,11,Nov,Q4,2024-11
TXN0000000014,2024-04-10 00:51:10,Bill Payment,Grocery,430,SUCCESS,56+,36-45,Gujarat,Yes Bank,Yes Bank,Android,4G,0,0,Wednesday,0,2024-04-10,4,Apr,Q2,2024-04
TXN0000000015,2024-02-03 12:35:08,P2P,Transport,544,SUCCESS,18-25,46-55,Uttar Pradesh,IndusInd,Axis,Android,5G,0,12,Saturday,1,2024-02-03,2,Feb,Q1,2024-02
TXN0000000016,2024-11-09 15:21:26,P2M,Grocery,1346,SUCCESS,18-25,18-25,Rajasthan,SBI,SBI,Android,5G,0,15,Saturday,1,2024-11-09,11,Nov,Q4,2024-11
TXN0000000017,2024-01-25 07:27:23,P2P,Food,171,SUCCESS,46-55,18-25,Delhi,HDFC,SBI,Android,5G,0,7,Thursday,0,2024-01-25,1,Jan,Q1,2024-01
TXN0000000018,2024-05-19 18:38:15,P2M,Healthcare,189,SUCCESS,18-25,18-25,Gujarat,SBI,PNB,iOS,5G,0,18,Sunday,1,2024-05-19,5,May,Q2,2024-05
TXN0000000019,2024-11-11 22:08:37,P2P,Healthcare,799,SUCCESS,26-35,18-25,Karnataka,ICICI,SBI,Android,4G,0,22,Monday,0,2024-11-11,11,Nov,Q4,2024-11
TXN0000000020,2024-06-13 18:25:14,P2P,Utilities,450,SUCCESS,26-35,36-45,Tamil Nadu,Yes Bank,IndusInd,iOS,WiFi,0,18,Thursday,0,2024-06-13,6,Jun,Q2,2024-06
TXN0000000021,2024-05-19 10:41:07,Bill Payment,Food,1341,SUCCESS,36-45,26-35,Karnataka,SBI,ICICI,Android,WiFi,0,10,Sunday,1,2024-05-19,5,May,Q2,2024-05
TXN0000000022,2024-11-02 17:13:53,Recharge,Entertainment,280,SUCCESS,26-35,26-35,Maharashtra,SBI,PNB,Android,4G,0,17,Saturday,1,2024-11-02,11,Nov,Q4,2024-11
TXN0000000023,2024-10-18 04:35:41,P2P,Shopping,397,SUCCESS,18-25,26-35,Delhi,Axis,SBI,Android,5G,0,4,Friday,0,2024-10-18,10,Oct,Q4,2024-10
